Feature,Rank,Title,Artist,Popularity,Feature_Score
Hope,3,hope,XXXTENTACION,22353.50000000001,1.0
Hope,4,delicate,Taylor Swift,12132.5,1.0
Hope,5,nice for what,Drake,27828.80000000001,1.0
Hope,6,mine,Bazzi,19368.80000000001,1.0
Hope,7,wasted,Juice WRLD - Lil Uzi Vert,20196.85,1.0
Hope,8,everybody dies in their nightmares,XXXTENTACION,50539.89999999997,1.0
Hope,9,you was right,Lil Uzi Vert,22712.700000000004,1.0
Hope,10,its you,Ali Gatie,20688.0,1.0
Love,1,nowadays,Lil Skies - Landon Cube,34641.65,1.0
Love,2,paradise,Bazzi,17500.3,1.0
Love,3,drowning,A Boogie Wit da Hoodie - Kodak Black,23549.05,1.0
Love,4,santa tell me,Ariana Grande,13317.6,1.0
Love,5,cardigan,Taylor Swift,14408.6,1.0
Love,6,let me love you,DJ Snake - Justin Bieber,11524.6,1.0
Love,7,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,1.0
Love,8,suicidal,YNW Melly,28051.85000000001,1.0
Love,9,stargazing,Travis Scott,26353.74999999998,1.0
Love,10,perfect,Ed Sheeran,43670.650000000016,1.0
Nostalgia,1,its beginning to look a lot like christmas,Michael Bublé,13829.100000000004,1.0
Nostalgia,2,neighbors,J. Cole,15646.94999999999,1.0
Nostalgia,3,young dumb & broke,Khalid,87198.39999999994,1.0
Nostalgia,4,feel it still,Portugal. The Man,36342.900000000016,1.0
Nostalgia,5,money,Cardi B,32293.1,1.0
Nostalgia,6,its the most wonderful time of the year,Andy Williams,15575.65,1.0
Nostalgia,7,no tears left to cry,Ariana Grande,20338.65,1.0
Nostalgia,8,you need to calm down,Taylor Swift,14464.199999999995,1.0
Nostalgia,9,yellow hearts,Ant Saunders,10590.199999999995,1.0
Nostalgia,10,congratulations,Post Malone - Quavo,130719.14999999994,1.0
Thug,1,betrayed,Lil Xan,10629.949999999995,1.0
Thug,2,ball for me,Post Malone - Nicki Minaj,25052.1,1.0
Thug,3,walk em down,NLE Choppa - Roddy Ricch,23903.3,1.0
Thug,4,baguettes in the face,Mustard - NAV - Playboi Carti - A Boogie Wit da Hoodie,18941.60000000001,1.0
Thug,5,esskeetit,Lil Pump,10643.25,1.0
Thug,6,savage remix,Megan Thee Stallion - Beyoncé,26495.749999999985,1.0
Thug,7,sanguine paradise,Lil Uzi Vert,40324.900000000016,1.0
Thug,8,223s,YNW Melly - 9lokknine,18038.2,1.0
Thug,9,startender,A Boogie Wit da Hoodie - Tyga - Offset,17051.15,1.0
Thug,10,bad bad bad,Young Thug - Lil Baby,18747.75,1.0
anger_norm,1,graveyard,Halsey,15385.2,0.0365853658536585
anger_norm,2,gummo,6ix9ine,10913.099999999997,0.0363128491620112
anger_norm,3,paranoid,Post Malone,17141.1,0.0338983050847458
anger_norm,4,all girls are the same,Juice WRLD,65162.04999999999,0.0311284046692607
anger_norm,5,whats poppin,Jack Harlow,40802.099999999984,0.0289156626506024
anger_norm,6,robbery,Juice WRLD,84626.9,0.0285714285714286
anger_norm,7,shotta flow,NLE Choppa - Blueface,18702.75,0.0277777777777778
anger_norm,8,shotta flow,NLE Choppa,14696.2,0.0277777777777778
anger_norm,9,hot shower,Chance the Rapper - MadeinTYO - DaBaby,19677.150000000005,0.027072758037225
anger_norm,10,idontwannabeyouanymore,Billie Eilish,20154.099999999988,0.0266666666666667
anticipation_norm,1,its the most wonderful time of the year,Andy Williams,15575.65,0.0416666666666667
anticipation_norm,2,money,Cardi B,32293.1,0.0394088669950739
anticipation_norm,3,city of angels,24kGoldn,11643.0,0.0314465408805031
anticipation_norm,4,nowadays,Lil Skies - Landon Cube,34641.65,0.0307692307692308
anticipation_norm,5,the less i know the better,Tame Impala,15681.60000000001,0.0298507462686567
anticipation_norm,6,perfect,Ed Sheeran,43670.650000000016,0.0284552845528455
anticipation_norm,7,praying,Kesha,15926.800000000005,0.0268456375838926
anticipation_norm,8,whats poppin,Jack Harlow,40802.099999999984,0.0265060240963855
anticipation_norm,9,lovely,Billie Eilish - Khalid,79693.90000000005,0.025974025974026
anticipation_norm,10,all time low,Jon Bellion,15182.749999999998,0.0257352941176471
disgust_norm,1,all girls are the same,Juice WRLD,65162.04999999999,0.0311284046692607
disgust_norm,2,robbery,Juice WRLD,84626.9,0.0285714285714286
disgust_norm,3,graveyard,Halsey,15385.2,0.024390243902439
disgust_norm,4,betrayed,Lil Xan,10629.949999999995,0.023121387283237
disgust_norm,5,betrayed,Lil Xan,25660.099999999995,0.023121387283237
disgust_norm,6,gummo,6ix9ine,10913.099999999997,0.0223463687150838
disgust_norm,7,supalonely,BENEE - Gus Dapperton,25425.45,0.0203389830508475
disgust_norm,8,idontwannabeyouanymore,Billie Eilish,20154.099999999988,0.02
disgust_norm,9,the bones,Maren Morris,10453.75,0.02
disgust_norm,10,whats poppin,Jack Harlow,40802.099999999984,0.0192771084337349
fear_norm,1,robbery,Juice WRLD,84626.9,0.053968253968254
fear_norm,2,hope,XXXTENTACION,22353.50000000001,0.0392156862745098
fear_norm,3,graveyard,Halsey,15385.2,0.0365853658536585
fear_norm,4,pray for me,The Weeknd - Kendrick Lamar,19935.5,0.0353982300884956
fear_norm,5,hurricane,Luke Combs,13915.850000000011,0.0336700336700337
fear_norm,6,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,0.0317460317460317
fear_norm,7,all girls are the same,Juice WRLD,65162.04999999999,0.0311284046692607
fear_norm,8,taking a walk,Trippie Redd,13441.9,0.0292397660818713
fear_norm,9,bad liar,Selena Gomez,16801.05,0.0286885245901639
fear_norm,10,righteous,Juice WRLD,11383.750000000002,0.0285714285714286
joy_norm,1,perfect,Ed Sheeran,43670.650000000016,0.0447154471544715
joy_norm,2,the less i know the better,Tame Impala,15681.60000000001,0.0398009950248756
joy_norm,3,money,Cardi B,32293.1,0.0394088669950739
joy_norm,4,taste,Tyga - Offset,60454.20000000001,0.0384615384615385
joy_norm,5,paranoid,Post Malone,17141.1,0.0338983050847458
joy_norm,6,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,0.0317460317460317
joy_norm,7,nowadays,Lil Skies - Landon Cube,34641.65,0.0307692307692308
joy_norm,8,its the most wonderful time of the year,Andy Williams,15575.65,0.0297619047619048
joy_norm,9,midnight sky,Miley Cyrus,12720.1,0.0287769784172662
joy_norm,10,unforgettable,French Montana - Swae Lee,63920.34999999997,0.0285714285714286
sadness_norm,1,mona lisa,Lil Wayne - Kendrick Lamar,12823.95,0.0476190476190476
sadness_norm,2,graveyard,Halsey,15385.2,0.0365853658536585
sadness_norm,3,all girls are the same,Juice WRLD,65162.04999999999,0.0350194552529183
sadness_norm,4,bad guy,Billie Eilish,98959.35000000024,0.0337078651685393
sadness_norm,5,idontwannabeyouanymore,Billie Eilish,20154.099999999988,0.0333333333333333
sadness_norm,6,heart on ice,Rod Wave,11939.600000000008,0.0323886639676113
sadness_norm,7,the bones,Maren Morris,10453.75,0.03
